Unnamed: 0,DATETIMEDATA,PM25,WS,TEMP,RH,WD,stationID
201.0,2023-12-09 09:00:00,11.6,1,30.0,68.0,123.0,44t
202.0,2023-12-09 10:00:00,14.1,1,31.0,61.0,141.0,44t
203.0,2023-12-09 11:00:00,13.8,1,32.0,55.0,130.0,44t
204.0,2023-12-09 12:00:00,12.9,0,33.0,54.0,150.0,44t
205.0,2023-12-09 13:00:00,14.1,1,33.0,49.0,159.0,44t
206.0,2023-12-09 14:00:00,11.1,1,33.0,50.0,129.0,44t
207.0,2023-12-09 15:00:00,10.6,1,33.0,51.0,131.0,44t
208.0,2023-12-09 16:00:00,12.0,1,32.0,50.0,124.0,44t
209.0,2023-12-09 17:00:00,13.4,1,30.0,57.0,139.0,44t
210.0,2023-12-09 18:00:00,16.7,1,29.0,64.0,159.0,44t
211.0,2023-12-09 19:00:00,13.2,1,29.0,67.0,161.0,44t
212.0,2023-12-09 20:00:00,12.1,1,28.0,72.0,128.0,44t
213.0,2023-12-09 21:00:00,13.8,1,28.0,74.0,112.0,44t
214.0,2023-12-09 22:00:00,16.9,1,28.0,76.0,108.0,44t
215.0,2023-12-09 23:00:00,20.5,0,27.0,79.0,105.0,44t
216.0,2023-12-10 00:00:00,24.8,0,27.0,81.0,105.0,44t
217.0,2023-12-10 01:00:00,24.1,1,27.0,81.0,96.0,44t
218.0,2023-12-10 02:00:00,20.2,1,27.0,82.0,97.0,44t
219.0,2023-12-10 03:00:00,18.3,1,27.0,82.0,105.0,44t
220.0,2023-12-10 04:00:00,15.1,1,26.0,87.0,108.0,44t
221.0,2023-12-10 05:00:00,15.8,1,26.0,91.0,113.0,44t
222.0,2023-12-10 06:00:00,17.6,0,26.0,93.0,109.0,44t
223.0,2023-12-10 07:00:00,14.9,1,27.0,90.0,110.0,44t
224.0,2023-12-10 08:00:00,14.5,1,27.0,85.0,110.0,44t
225.0,2023-12-10 09:00:00,15.7,1,29.0,77.0,100.0,44t
226.0,2023-12-10 10:00:00,15.8,1,30.0,71.0,113.0,44t
227.0,2023-12-10 11:00:00,15.3,2,31.0,63.0,128.0,44t
228.0,2023-12-10 12:00:00,12.2,1,32.0,57.0,137.0,44t
229.0,2023-12-10 13:00:00,12.8,1,33.0,53.0,140.0,44t
230.0,2023-12-10 14:00:00,11.1,1,33.0,53.0,137.0,44t
231.0,2023-12-10 15:00:00,15.1,1,32.0,56.0,144.0,44t
232.0,2023-12-10 16:00:00,14.1,1,31.0,61.0,180.0,44t
233.0,2023-12-10 17:00:00,11.9,1,30.0,67.0,144.0,44t
234.0,2023-12-10 18:00:00,14.2,1,29.0,73.0,113.0,44t
235.0,2023-12-10 19:00:00,15.9,1,28.0,77.0,115.0,44t
236.0,2023-12-10 20:00:00,17.4,1,28.0,79.0,110.0,44t
237.0,2023-12-10 21:00:00,20.8,1,28.0,82.0,108.0,44t
238.0,2023-12-10 22:00:00,21.1,0,27.0,84.0,108.0,44t
239.0,2023-12-10 23:00:00,22.5,0,27.0,86.0,109.0,44t
240.0,2023-12-11 00:00:00,25.8,0,27.0,88.0,106.0,44t
241.0,2023-12-11 01:00:00,20.9,0,27.0,89.0,106.0,44t
242.0,2023-12-11 02:00:00,21.2,0,26.0,90.0,100.0,44t
243.0,2023-12-11 03:00:00,22.9,0,26.0,90.0,101.0,44t
244.0,2023-12-11 04:00:00,18.7,0,26.0,91.0,107.0,44t
245.0,2023-12-11 05:00:00,20.9,0,26.0,92.0,108.0,44t
